id,palabra,frecuencia,categoria,fecha,periodo,score_trending
765,league,1,Deportes,2025-09-14T14:01:40.132255,diario,0.0
766,sonne,1,Deportes,2025-09-14T14:01:40.134934,diario,0.0
767,cómo,1,Deportes,2025-09-14T14:01:40.138694,diario,0.0
768,persecución,1,Deportes,2025-09-14T14:01:40.201216,diario,0.0
769,comentarios,1,Deportes,2025-09-14T14:01:40.205123,diario,0.0
770,denuncia,1,Deportes,2025-09-14T14:01:40.207928,diario,0.0
771,personal,1,Deportes,2025-09-14T14:01:40.209740,diario,0.0
772,racistas,1,Deportes,2025-09-14T14:01:40.211459,diario,0.0
773,rodrigo,1,Deportes,2025-09-14T14:01:40.213078,diario,0.0
774,explotó,1,Deportes,2025-09-14T14:01:40.214843,diario,0.0
775,sanción,1,Deportes,2025-09-14T14:01:40.216613,diario,0.0
776,objeto,1,Deportes,2025-09-14T14:01:40.218723,diario,0.0
777,ureña,1,Deportes,2025-09-14T14:01:40.220348,diario,0.0
778,eliminatorias,1,Deportes,2025-09-14T14:01:40.283385,diario,0.0
779,selección,1,Deportes,2025-09-14T14:01:40.284864,diario,0.0
780,repechaje,1,Deportes,2025-09-14T14:01:40.286647,diario,0.0
781,volvería,1,Deportes,2025-09-14T14:01:40.288134,diario,0.0
782,ficharía,1,Deportes,2025-09-14T14:01:40.289953,diario,0.0
783,ricardo,1,Deportes,2025-09-14T14:01:40.291662,diario,0.0
784,gareca,1,Deportes,2025-09-14T14:01:40.293358,diario,0.0
785,quedó,1,Deportes,2025-09-14T14:01:40.294919,diario,0.0
786,fuera,1,Deportes,2025-09-14T14:01:40.296998,diario,0.0
787,porespectáculosgreissy,1,Espectáculos,2025-09-14T14:01:40.332126,diario,0.0
788,fallecer,1,Espectáculos,2025-09-14T14:01:40.334312,diario,0.0
789,hicieron,1,Espectáculos,2025-09-14T14:01:40.336492,diario,0.0
790,impacta,1,Espectáculos,2025-09-14T14:01:40.338695,diario,0.0
791,revelar,1,Espectáculos,2025-09-14T14:01:40.340460,diario,0.0
792,ortega,1,Espectáculos,2025-09-14T14:01:40.343360,diario,0.0
793,cuerpo,1,Espectáculos,2025-09-14T14:01:40.345261,diario,0.0
794,luego,1,Espectáculos,2025-09-14T14:01:40.347143,diario,0.0
795,pasó,1,Espectáculos,2025-09-14T14:01:40.348781,diario,0.0
796,bebé,1,Espectáculos,2025-09-14T14:01:40.350528,diario,0.0
797,alejandra,1,Espectáculos,2025-09-14T14:01:40.394749,diario,0.0
798,baigorria,1,Espectáculos,2025-09-14T14:01:40.399726,diario,0.0
799,presente,1,Espectáculos,2025-09-14T14:01:40.402963,diario,0.0
800,emotivo,1,Espectáculos,2025-09-14T14:01:40.406028,diario,0.0
801,momento,1,Espectáculos,2025-09-14T14:01:40.409179,diario,0.0
802,estuvo,1,Espectáculos,2025-09-14T14:01:40.412642,diario,0.0
803,creció,1,Espectáculos,2025-09-14T14:01:40.415410,diario,0.0
804,junto,1,Espectáculos,2025-09-14T14:01:40.418159,diario,0.0
805,palao,1,Espectáculos,2025-09-14T14:01:40.422353,diario,0.0
